tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
83762,RBRB,Vulpes lagopus,2009-06-08 00:00:00.000,2010-10-12 00:00:00.000,mate of Female (83763),adult,reproductive male,m,collar,Collar stopped without irregular transmissions at the end,,83762-RBRB,4 hrs ON (13:00-17:00 UTC) every day from 1 June-15 Aug and every second day from 16 Aug-31 May,,none,Herschel Island,Sirtrack,KiwiSat 202,satellite
83763,Female,Vulpes lagopus,2009-06-10 00:00:00.000,2009-06-29 00:00:00.000,Female was not ear-tagged and identified by her collar; mate of RBRB,adult,reproductive female,f,collar,Tracking ending upon death of animal (determined by movements),dead,83763-Female,4 hrs ON (13:00-17:00 UTC) every day from 1 June-15 Aug and every second day from 16 Aug-31 May,Female was not ear-tagged and identified by her collar,none,Herschel Island,Sirtrack,KiwiSat 202,satellite
