tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-sex,deployment-comments,deployment-end-comments,tag-manufacturer-name,tag-model
926029,JOJJ,Vulpes lagopus,2022-07-17 12:31:00.000,,,adult,f,,,Milsar,RadioTag-14
926033,OBBO,Vulpes lagopus,2022-07-21 14:00:00.000,,,adult,m,,,Milsar,RadioTag-14
926049,BJOV,Vulpes lagopus,2023-06-01 05:09:00.000,,,adult,f,,,Milsar,RadioTag-14
926064,VORR,Vulpes lagopus,2023-06-01 13:25:00.000,,,adult,m,,,Milsar,RadioTag-14
926059,OJVO,Vulpes lagopus,2023-06-04 05:37:00.000,,,adult,f,,,Milsar,RadioTag-14
926066,OVJB,Vulpes lagopus,2023-06-04 06:47:00.000,,,adult,f,,,Milsar,RadioTag-14
926062,ROOV,Vulpes lagopus,2023-06-17 05:25:00.000,,,adult,m,,,Milsar,RadioTag-14
926054,VJJO,Vulpes lagopus,2023-06-17 12:20:00.000,,,adult,m,,,Milsar,RadioTag-14
926056,RRJO,Vulpes lagopus,2023-06-17 17:10:00.000,,,adult,m,,,Milsar,RadioTag-14
926061,VJRO,Vulpes lagopus,2023-06-23 19:10:00.000,,,adult,m,,,Milsar,RadioTag-14
926055,JORO,Vulpes lagopus,2023-07-01 06:12:00.000,,,adult,m,,,Milsar,RadioTag-14
926052,RJBO,Vulpes lagopus,2023-07-10 18:18:00.000,,,adult,f,,,Milsar,RadioTag-14
926050,JRVO,Vulpes lagopus,2023-07-17 12:45:00.000,,,adult,f,,,Milsar,RadioTag-14
926065,OBBR,Vulpes lagopus,2023-07-17 17:45:00.000,,,adult,f,,,Milsar,RadioTag-14
926053,VRRO,Vulpes lagopus,2023-07-18 00:22:00.000,,,adult,m,,,Milsar,RadioTag-14
926057,ORJJ,Vulpes lagopus,2023-07-24 03:50:00.000,,,adult,f,,,Milsar,RadioTag-14
