,Tag ID,Longitude,Latitude,Scientific Name,gps:satellite-count,individual-local-identifier
98,F695853,-92.807358,57.934892,Vulpes vulpes,9,AB
99,F695853,-92.809006,57.940043,Vulpes vulpes,8,AB
100,F695853,-92.806758,57.937268,Vulpes vulpes,7,AB
101,F695853,-92.806688,57.937131,Vulpes vulpes,10,AB
102,F695853,-92.806617,57.937152,Vulpes vulpes,8,AB
103,F695853,-92.806679,57.937039,Vulpes vulpes,7,AB
104,F695853,-92.805524,57.936472,Vulpes vulpes,9,AB
105,F695853,-92.806343,57.934968,Vulpes vulpes,10,AB
106,F695853,-92.80135,57.93101,Vulpes vulpes,8,AB
107,F695853,-92.794252,57.920144,Vulpes vulpes,10,AB
108,F695853,-92.809374,57.947148,Vulpes vulpes,9,AB
109,F695853,-92.810352,57.951719,Vulpes vulpes,11,AB
110,F695853,-92.803802,57.935007,Vulpes vulpes,10,AB
111,F695853,-92.807321,57.934911,Vulpes vulpes,9,AB
112,F695853,-92.807324,57.934812,Vulpes vulpes,8,AB
113,F695853,-92.807635,57.936991,Vulpes vulpes,7,AB
114,F695853,-92.807405,57.936977,Vulpes vulpes,9,AB
115,F695853,-92.80733,57.937058,Vulpes vulpes,6,AB
116,F695853,-92.789218,57.926822,Vulpes vulpes,10,AB
117,F695853,-92.773509,57.903277,Vulpes vulpes,8,AB
118,F695853,-92.788279,57.934093,Vulpes vulpes,10,AB
119,F695853,-92.80737,57.934868,Vulpes vulpes,11,AB
120,F695853,-92.807347,57.934949,Vulpes vulpes,7,AB
121,F695853,-92.807342,57.934892,Vulpes vulpes,9,AB
122,F695853,-92.807343,57.934887,Vulpes vulpes,9,AB
123,F695853,-92.807322,57.934897,Vulpes vulpes,8,AB
124,F695853,-92.807301,57.934906,Vulpes vulpes,12,AB
125,F695853,-92.800336,57.933819,Vulpes vulpes,8,AB
126,F695853,-92.807298,57.936994,Vulpes vulpes,8,AB
127,F695853,-92.807291,57.934811,Vulpes vulpes,10,AB
128,F695853,-92.805703,57.93631,Vulpes vulpes,11,AB
129,F695853,-92.807788,57.948831,Vulpes vulpes,10,AB
130,F695853,-92.804721,57.933227,Vulpes vulpes,11,AB
131,F695853,-92.807376,57.934829,Vulpes vulpes,8,AB
132,F695853,-92.80729,57.934835,Vulpes vulpes,8,AB
133,F695853,-92.807221,57.934872,Vulpes vulpes,9,AB
134,F695853,-92.807311,57.934852,Vulpes vulpes,7,AB
135,F695853,-92.807105,57.934947,Vulpes vulpes,8,AB
136,F695853,-92.807283,57.934819,Vulpes vulpes,12,AB
137,F695853,-92.805802,57.93727,Vulpes vulpes,10,AB
138,F695853,-92.807316,57.93494,Vulpes vulpes,9,AB
139,F695853,-92.807307,57.934911,Vulpes vulpes,10,AB
140,F695853,-92.807308,57.934855,Vulpes vulpes,11,AB
141,F695853,-92.807285,57.934892,Vulpes vulpes,8,AB
142,F695853,-92.807527,57.935722,Vulpes vulpes,11,AB
143,F695853,-92.806882,57.937713,Vulpes vulpes,7,AB
144,F695853,-92.806726,57.937094,Vulpes vulpes,8,AB
145,F695853,-92.806554,57.937098,Vulpes vulpes,8,AB
146,F695853,-92.806683,57.937713,Vulpes vulpes,9,AB
147,F695853,-92.806594,57.937698,Vulpes vulpes,7,AB
148,F695853,-92.806632,57.937727,Vulpes vulpes,8,AB
149,F695853,-92.779492,57.921729,Vulpes vulpes,10,AB
150,F695853,-92.772391,57.904228,Vulpes vulpes,8,AB
151,F695853,-92.807357,57.934875,Vulpes vulpes,11,AB
152,F695853,-92.807334,57.934886,Vulpes vulpes,10,AB
153,F695853,-92.805988,57.937699,Vulpes vulpes,9,AB
154,F695853,-92.809193,57.93859,Vulpes vulpes,7,AB
155,F695853,-92.809275,57.938541,Vulpes vulpes,7,AB
156,F695853,-92.809047,57.938506,Vulpes vulpes,8,AB
157,F695853,-92.809213,57.938624,Vulpes vulpes,7,AB
158,F695853,-92.809287,57.938601,Vulpes vulpes,8,AB
159,F695853,-92.809372,57.938611,Vulpes vulpes,8,AB
160,F695853,-92.809228,57.93862,Vulpes vulpes,7,AB
161,F695853,-92.808096,57.941473,Vulpes vulpes,9,AB
162,F695853,-92.802344,57.935185,Vulpes vulpes,8,AB
163,F695853,-92.807287,57.934832,Vulpes vulpes,11,AB
164,F695853,-92.806536,57.937266,Vulpes vulpes,10,AB
165,F695853,-92.807242,57.937573,Vulpes vulpes,7,AB
166,F695853,-92.806719,57.937842,Vulpes vulpes,9,AB
167,F695853,-92.807063,57.937609,Vulpes vulpes,8,AB
168,F695853,-92.806981,57.937556,Vulpes vulpes,7,AB
169,F695853,-92.80712,57.937691,Vulpes vulpes,8,AB
170,F695853,-92.807195,57.937721,Vulpes vulpes,11,AB
171,F695853,-92.811538,57.955769,Vulpes vulpes,9,AB
172,F695853,-92.807113,57.934848,Vulpes vulpes,10,AB
173,F695853,-92.80733,57.934928,Vulpes vulpes,11,AB
174,F695853,-92.807309,57.934871,Vulpes vulpes,11,AB
175,F695853,-92.807319,57.934937,Vulpes vulpes,8,AB
176,F695853,-92.807306,57.934842,Vulpes vulpes,9,AB
177,F695853,-92.799928,57.939815,Vulpes vulpes,8,AB
178,F695853,-92.807356,57.934912,Vulpes vulpes,11,AB
179,F695853,-92.807215,57.934775,Vulpes vulpes,9,AB
180,F695853,-92.800469,57.90832,Vulpes vulpes,10,AB
181,F695853,-92.804935,57.933639,Vulpes vulpes,8,AB
182,F695853,-92.807314,57.934955,Vulpes vulpes,10,AB
183,F695853,-92.807254,57.934864,Vulpes vulpes,11,AB
184,F695853,-92.807349,57.934861,Vulpes vulpes,9,AB
185,F695853,-92.807341,57.934871,Vulpes vulpes,9,AB
186,F695853,-92.807351,57.934869,Vulpes vulpes,12,AB
187,F695853,-92.785424,57.931106,Vulpes vulpes,9,AB
188,F695853,-92.790773,57.931933,Vulpes vulpes,10,AB
189,F695853,-92.807267,57.934938,Vulpes vulpes,9,AB
190,F695853,-92.807288,57.934714,Vulpes vulpes,7,AB
191,F695853,-92.807203,57.934826,Vulpes vulpes,8,AB
192,F695853,-92.807288,57.934897,Vulpes vulpes,9,AB
193,F695853,-92.807191,57.93482,Vulpes vulpes,12,AB
194,F695853,-92.804625,57.936164,Vulpes vulpes,10,AB
195,F695853,-92.807351,57.935204,Vulpes vulpes,10,AB
196,F695853,-92.807152,57.935,Vulpes vulpes,7,AB
197,F695853,-92.807157,57.934807,Vulpes vulpes,11,AB
198,F695853,-92.807346,57.934966,Vulpes vulpes,9,AB
199,F695853,-92.80739,57.934979,Vulpes vulpes,8,AB
200,F695853,-92.785048,57.9469,Vulpes vulpes,8,AB
201,F695853,-92.78177,57.918423,Vulpes vulpes,10,AB
202,F695853,-92.782803,57.919545,Vulpes vulpes,10,AB
203,F695853,-92.782714,57.919503,Vulpes vulpes,9,AB
204,F695853,-92.782797,57.919441,Vulpes vulpes,7,AB
205,F695853,-92.782876,57.919495,Vulpes vulpes,9,AB
206,F695853,-92.7828,57.919467,Vulpes vulpes,7,AB
207,F695853,-92.78282,57.91946,Vulpes vulpes,8,AB
208,F695853,-92.78215,57.918618,Vulpes vulpes,7,AB
209,F695853,-92.782239,57.918629,Vulpes vulpes,8,AB
210,F695853,-92.782106,57.918721,Vulpes vulpes,6,AB
211,F695853,-92.782164,57.918585,Vulpes vulpes,9,AB
212,F695853,-92.766109,57.868343,Vulpes vulpes,8,AB
213,F695853,-92.773115,57.89927,Vulpes vulpes,8,AB
214,F701533,-92.82376,57.877814,Vulpes vulpes,9,A
215,F701533,-92.824403,57.877886,Vulpes vulpes,6,A
216,F701533,-92.85999,57.88756,Vulpes vulpes,7,A
217,F701533,-92.885635,57.887463,Vulpes vulpes,8,A
218,F701533,-92.885662,57.887452,Vulpes vulpes,8,A
219,F701533,-92.885703,57.887425,Vulpes vulpes,7,A
220,F701533,-92.885618,57.887432,Vulpes vulpes,8,A
221,F701533,-92.886024,57.887344,Vulpes vulpes,7,A
222,F701533,-92.885744,57.8874,Vulpes vulpes,9,A
223,F701533,-92.885711,57.887486,Vulpes vulpes,7,A
224,F701533,-92.887375,57.880671,Vulpes vulpes,7,A
225,F701533,-92.887427,57.880794,Vulpes vulpes,7,A
226,F701533,-92.887469,57.880687,Vulpes vulpes,7,A
227,F701533,-92.887503,57.880597,Vulpes vulpes,6,A
228,F701533,-92.884617,57.871185,Vulpes vulpes,9,A
229,F701533,-92.879073,57.867388,Vulpes vulpes,9,A
230,F701533,-92.878609,57.867244,Vulpes vulpes,8,A
231,F701533,-92.867262,57.864085,Vulpes vulpes,9,A
232,F701533,-92.867242,57.864036,Vulpes vulpes,6,A
233,F701533,-92.867163,57.864191,Vulpes vulpes,7,A
234,F701533,-92.867239,57.864072,Vulpes vulpes,8,A
235,F701533,-92.874509,57.878043,Vulpes vulpes,7,A
236,F701533,-92.874267,57.878105,Vulpes vulpes,7,A
237,F701533,-92.874529,57.878105,Vulpes vulpes,7,A
238,F701533,-92.874419,57.878088,Vulpes vulpes,10,A
239,F701533,-92.874285,57.877942,Vulpes vulpes,6,A
240,F701533,-92.874403,57.878062,Vulpes vulpes,8,A
241,F701533,-92.878891,57.872904,Vulpes vulpes,8,A
242,F701533,-92.877674,57.867117,Vulpes vulpes,7,A
